"ID";"P3";"P4";"P5";"P7";"P8";"P9";"P10";"P11";"P12";"P13";"P14";"P15";"P2";"P19";"P20";"P21";"P22";"P6";"P16";"P17";"P18"
270;Às vezes;Na sociedade;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;50 a 59 anos;Ensino Médio       ;Mais de 2 a 5 (de R$ 701 a R$ 1.750)       ;Profissional Liberal (Autônoma);MS;Sim;Intensificar as campanhas para divulgação dos direitos das mulheres       ;Não;Em parte
271;Às vezes;Na família  ;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;40 a 49 anos;Ensino Médio       ;Mais de 2 a 5 (de R$ 701 a R$ 1.750)       ;Servidora Pública              ;MS;Sim;Intensificar as campanhas para divulgação dos direitos das mulheres       ;Não;Em parte
272;Não     ;Na família  ;Não     ;Sim;Uso do álcool           ;Moral              ;Marido     ;Sim  ;Não sofro mais violência    ;NS/NR                           ;       ;20 a 29 anos;40 a 49 anos;Ensino Médio       ;Mais de 5 a 10 (de R$ 1.751 a R$ 3.500)    ;Servidora Pública              ;MS;Sim;Estimular o debate social sobre o tema                                    ;Não;Não     
273;Às vezes;No trabalho ;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;40 a 49 anos;Pós-Graduada       ;Até 2 SM (R$ 700)                          ;Servidora Pública              ;MS;Sim;Capacitar lideranças comunitárias para que possam intervir nas emergências;Não;Em parte
274;Às vezes;Outros      ;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;40 a 49 anos;Ensino Médio       ;Mais de 5 a 10 (de R$ 1.751 a R$ 3.500)    ;Outras ocupações               ;MS;Sim;Melhorar a assistência às vítimas                                         ;Sim;Não     
275;Às vezes;Na família  ;Em parte;Sim;Uso de drogas           ;Todas as anteriores;NS/NR      ;NS/NR;                            ;Denunciou em Delegacia da Mulher;Ótimo  ;20 a 29 anos;30 a 39 anos;Ensino Médio       ;Mais de 5 a 10 (de R$ 1.751 a R$ 3.500)    ;Do Lar ( Dona de casa)         ;MS;Não;Denunciar                                                                 ;Não;Em parte
276;Às vezes;Na sociedade;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;20 a 29 anos;Ensino Médio       ;Mais de 2 a 5 (de R$ 701 a R$ 1.750)       ;Funcionária de empresa privada ;MS;Sim;Denunciar                                                                 ;Não;Sim     
277;Às vezes;Na família  ;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;30 a 39 anos;Ensino Médio       ;Até 2 SM (R$ 700)                          ;Do Lar ( Dona de casa)         ;MS;Sim;Melhorar a assistência às vítimas                                         ;Não;Sim     
278;Não     ;No trabalho ;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;20 a 29 anos;Ensino Médio       ;NS/NR                                      ;Funcionária de empresa privada ;MS;Sim;Denunciar                                                                 ;Não;Em parte
279;Não     ;Na sociedade;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;16 a 19 anos;Ensino Médio       ;Mais de 2 a 5 (de R$ 701 a R$ 1.750)       ;Profissional Liberal (Autônoma);MS;Sim;Melhorar a assistência às vítimas                                         ;Sim;Em parte
280;Às vezes;Outros      ;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;20 a 29 anos;Ensino Superior    ;Mais de 5 a 10 (de R$ 1.751 a R$ 3.500)    ;Profissional Liberal (Autônoma);MS;Não;Intensificar as campanhas para divulgação dos direitos das mulheres       ;Não;Sim     
281;Às vezes;Na família  ;Em parte;Sim;Uso do álcool           ;Física             ;Marido     ;Não  ;                            ;Não fez nada                    ;       ;20 a 29 anos;40 a 49 anos;Ensino Médio       ;Mais de 2 a 5 (de R$ 701 a R$ 1.750)       ;Do Lar ( Dona de casa)         ;MT;Sim;Intensificar as campanhas para divulgação dos direitos das mulheres       ;Sim;Em parte
282;Às vezes;Na sociedade;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;30 a 39 anos;Ensino Médio       ;Até 2 SM (R$ 700)                          ;Funcionária de empresa privada ;MT;Sim;Denunciar                                                                 ;Sim;Sim     
283;Às vezes;Na sociedade;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;40 a 49 anos;Ensino Superior    ;Mais de 10 a 20 SM (de R$ 3.501 a R$ 7.000);Servidora Pública              ;MT;Sim;Dividir de forma mais equilibrada as responsabilidades domésticas         ;Sim;Sim     
284;Às vezes;No trabalho ;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;30 a 39 anos;Ensino Médio       ;Mais de 2 a 5 (de R$ 701 a R$ 1.750)       ;Do Lar ( Dona de casa)         ;MT;Sim;Denunciar                                                                 ;Sim;Em parte
285;Às vezes;Na sociedade;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;16 a 19 anos;Ensino Médio       ;NS/NR                                      ;Funcionária de empresa privada ;MT;Não;Denunciar                                                                 ;Não;Em parte
286;Às vezes;Na família  ;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;30 a 39 anos;Ensino Médio       ;Até 2 SM (R$ 700)                          ;Funcionária de empresa privada ;MT;Sim;Denunciar                                                                 ;Sim;Em parte
287;Não     ;Outros      ;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;20 a 29 anos;Ensino Fundamental ;Mais de 2 a 5 (de R$ 701 a R$ 1.750)       ;Funcionária de empresa privada ;MT;Sim;Denunciar                                                                 ;Não;Não     
288;Às vezes;No trabalho ;Sim     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;20 a 29 anos;Ensino Médio       ;Mais de 2 a 5 (de R$ 701 a R$ 1.750)       ;Do Lar ( Dona de casa)         ;MT;Não;Intensificar as campanhas para divulgação dos direitos das mulheres       ;Não;Não     
289;Às vezes;Na sociedade;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;16 a 19 anos;Ensino Médio       ;Mais de 2 a 5 (de R$ 701 a R$ 1.750)       ;Estudante                      ;MT;Sim;Denunciar                                                                 ;Sim;Em parte
290;Sim     ;Na sociedade;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;16 a 19 anos;Ensino Médio       ;Até 2 SM (R$ 700)                          ;Profissional Liberal (Autônoma);MT;Sim;Intensificar as campanhas para divulgação dos direitos das mulheres       ;Sim;Sim     
291;Não     ;No trabalho ;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;20 a 29 anos;Ensino Médio       ;NS/NR                                      ;Do Lar ( Dona de casa)         ;PA;Sim;Denunciar                                                                 ;Sim;Sim     
