"ID";"P04";"P05";"P10";"P11";"P20";"P2101";"P2102";"P2103";"P2104";"P2105";"P2106";"P2107";"P2108";"P2109";"P2110";"P2111";"P221";"P222";"P223";"P224";"P225";"P226";"P227";"P24";"P26";"P27";"P29";"P31";"P06";"P07";"P091";"P092";"P093";"P094";"P095";"P096";"P097";"P098";"P099";"P16";"P17";"P18";"P191";"P192";"P193";"P194";"P195";"P196";"P197";"P25";"P28";"P30";"P32";"P03";"P02";"P34";"P35";"P36";"P37";"P38";"P39";"P12";"P13";"P141";"P142";"P143";"P144";"P15";"P23";"P33_1";"P33_2",
371;Às vezes;Na sociedade;Em parte;Sim;Sim;No;No;No;Yes;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;Não;;Não fez nada;;16 a 19 anos;Aumentou;Na minoria das vezes;No;No;No;Yes;No;No;No;No;No;Não;;Sim;Yes;No;Yes;No;No;No;No;;Medo de vingança do agressor;;Não procurei ajuda ;Norte;Acre;20 a 29;Ens. Médio;Até 2 S.M.;Funcionária de empresa privada;Católica;Parda;Melhor;Sim;Yes;No;No;No;Sim;Ex-namorado,ex-marido ou ex-companheiro;Fortalece a lei;Aumenta a proteção à mulher
372;Às vezes;Na família;Não;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;No;Yes;No;Yes;Yes;Yes;No;No;No;NS/NR ;;Sim;Yes;No;Yes;Yes;No;No;No;;;;;Norte;Acre;40 a 49;Até Ens. Fund.;NS/NR;Do Lar;Evangélica;Branca;Pior;NS/NR ;Yes;No;No;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
373;Às vezes;Na família;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Continuou igual;Na maioria das vezes;No;No;No;Yes;No;No;No;No;No;Sim;Polícia / Delegacia comum;Sim;No;No;No;No;Yes;No;No;;;;;Norte;Acre;20 a 29;Ens. Médio;Até 2 S.M.;Estudante;Evangélica;Parda;Melhor;Sim;No;No;Yes;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
374;Sim;Na sociedade;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Continuou igual;Na minoria das vezes;Yes;Yes;No;No;No;No;No;No;No;Não;;Sim;Yes;No;No;No;Yes;No;No;;;;;Sul;Santa Catarina;30 a 39;Ens. Médio;Mais de 2 a 5;Funcionária de empresa privada;Católica;Branca;Melhor;Não;Yes;No;No;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
375;Às vezes;Na família;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;No;No;Yes;Yes;No;No;No;No;No;Sim;Polícia / Delegacia comum;Não;;;;;;;;;;;;Sul;Santa Catarina;40 a 49;Até Ens. Fund.;Até 2 S.M.;Profissional Liberal;Católica;Branca;Igual;Sim;No;No;Yes;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
376;Sim;NS/NR ;Sim;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;NS/NR ;Na minoria das vezes;No;No;No;Yes;No;No;No;No;No;Sim;Polícia / Delegacia comum;Não;;;;;;;;;;;;Sul;Santa Catarina;50 a 59;Ens. Superior;Sem renda;Do Lar;Outras religiões;Branca;Melhor;Não;Yes;Yes;No;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
377;Às vezes;Na sociedade;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;No;Yes;No;Yes;No;No;No;No;No;Sim;Delegacia da Mulher;Não;;;;;;;;;;;;Sul;Santa Catarina;16 a 19 anos;Até Ens. Fund.;Sem renda;Estudante;Católica;Branca;Melhor;Sim;Yes;Yes;No;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
378;Às vezes;No trabalho;Sim;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Continuou igual;Na minoria das vezes;No;No;No;Yes;No;Yes;No;No;No;Sim;Polícia / Delegacia comum;Não;;;;;;;;;;;;Sul;Santa Catarina;20 a 29;Ens. Médio;Até 2 S.M.;Servidora Pública;Evangélica;Branca;Melhor;Sim;No;No;Yes;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
379;Sim;Na família;Sim;Não;Não;;;;;;;;;;;;;;;;;;;;;;;;NS/NR ;Na maioria das vezes;No;No;No;No;Yes;No;No;No;No;Não;;Não;;;;;;;;;;;;Sul;Santa Catarina;60 ou mais;Até Ens. Fund.;NS/NR;Do Lar;Católica;Branca;;;Yes;No;No;No;NS/NR ;;Fortalece a lei;Aumenta a proteção à mulher,
380;Às vezes;Na sociedade;Não;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;No;No;No;Yes;Yes;No;No;No;No;Sim;Delegacia da Mulher;Não;;;;;;;;;;;;Sul;Santa Catarina;20 a 29;Ens. Superior;Até 2 S.M.;Servidora Pública;Evangélica;Branca;Igual;Não;Yes;No;No;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
381;Às vezes;Na família;Em parte;Não;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;No;No;No;Yes;No;No;No;No;No;Sim;Polícia / Delegacia comum;Não;;;;;;;;;;;;Sul;Santa Catarina;30 a 39;Ens. Médio;Até 2 S.M.;Funcionária de empresa privada;Católica;Branca;;;No;No;Yes;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
382;Não;Na família;Sim;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;No;No;No;Yes;No;No;No;No;No;Sim;Polícia / Delegacia comum;Sim;Yes;No;No;No;No;No;No;;;;;Sul;Santa Catarina;16 a 19 anos;Ens. Médio;Até 2 S.M.;Funcionária de empresa privada;Católica;Branca;Melhor;Não;Yes;No;No;No;Não;;Enfraquece a lei;Diminui a proteção à mulher,
383;Não;No trabalho;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;No;No;No;Yes;Yes;No;No;No;No;Sim;Delegacia da Mulher;Sim;Yes;No;Yes;No;No;No;No;;;;;Sul;Paraná;20 a 29;Ens. Médio;Até 2 S.M.;Funcionária de empresa privada;Evangélica;Parda;Melhor;Sim;No;No;Yes;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
384;Não;No trabalho;Em parte;Sim;Sim;Yes;No;No;No;No;No;No;No;No;No;No;Yes;No;Yes;No;No;No;No;Sim;Raramente (de vez em quando);Não fez nada;;20 a 29 anos;Continuou igual;Não denunciam;Yes;No;No;Yes;No;Yes;Yes;No;No;Sim;Polícia / Delegacia comum;Sim;Yes;Yes;No;No;No;No;No;Sim;Preocupação com a criação dos filhos;;Terceira vez ou mais;Sul;Santa Catarina;30 a 39;Ens. Superior;Até 2 S.M.;Servidora Pública;Católica;Branca;Igual;Sim;No;Yes;No;No;Sim;Marido/companheiro;Fortalece a lei;Diminui a proteção à mulher,
385;Não;Na sociedade;Não;Sim;Sim;No;No;No;Yes;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;Não;;Procurou ajuda da família;;20 a 29 anos;Aumentou;Na minoria das vezes;No;No;No;Yes;Yes;No;No;No;No;Sim;Polícia / Delegacia comum;Sim;Yes;No;No;No;No;No;No;;;;Não procurei ajuda ;Sudeste;São Paulo;50 a 59;Ens. Médio;Mais de 2 a 5;Aposentada;Católica;Parda;Igual;Sim;No;Yes;No;No;Sim;Marido/companheiro;Fortalece a lei;Aumenta a proteção à mulher,
386;Às vezes;Na família;Sim;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;No;No;No;Yes;No;Yes;No;No;No;Sim;Polícia / Delegacia comum;Sim;No;No;Yes;No;No;No;No;;;;;Sul;Santa Catarina;20 a 29;Até Ens. Fund.;Até 2 S.M.;Funcionária de empresa privada;Católica;Branca;Melhor;Não;No;No;Yes;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
387;Não;Na sociedade;Em parte;Sim;Sim;No;No;No;No;No;No;No;No;No;Yes;No;No;No;Yes;No;No;No;No;Sim;;Procurou ajuda dos amigos;;20 a 29 anos;Continuou igual;Na minoria das vezes;No;Yes;No;Yes;Yes;Yes;No;No;No;Sim;Polícia / Delegacia comum;Sim;No;No;Yes;No;No;No;No;Não;;;Terceira vez ou mais;Sudeste;Rio de Janeiro;50 a 59;Ens. Médio;Mais de 5 a 10;Servidora Pública;Outras religiões;Branca;Igual;Sim;No;No;Yes;No;Sim;Marido/companheiro;Enfraquece a lei;Diminui a proteção à mulher,
388;Às vezes;Na sociedade;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Continuou igual;Na minoria das vezes;Yes;No;No;Yes;No;No;No;No;No;Sim;Polícia / Delegacia comum;Não;;;;;;;;;;;;Sudeste;São Paulo;20 a 29;Ens. Superior;Mais de 2 a 5;Funcionária de empresa privada;Católica;Branca;Melhor;Sim;No;No;Yes;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
389;Não;Na família;Não;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;No;No;No;Yes;No;No;Yes;No;No;Sim;Polícia / Delegacia comum;Não;;;;;;;;;;;;Sudeste;Rio de Janeiro;60 ou mais;Ens. Médio;Até 2 S.M.;Aposentada;Evangélica;Parda;Igual;Sim;No;No;Yes;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
390;Às vezes;Na família;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;No;No;No;Yes;Yes;No;No;No;No;Sim;Delegacia da Mulher;Não;;;;;;;;;;;;Sudeste;Rio de Janeiro;30 a 39;Ens. Superior;Mais de 2 a 5;Funcionária de empresa privada;Católica;Branca;Melhor;Sim;No;No;Yes;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
391;Às vezes;Na sociedade;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;Yes;No;No;Yes;No;No;No;No;No;Sim;Delegacia da Mulher;Sim;Yes;No;No;No;Yes;No;No;;;;;Sudeste;Rio de Janeiro;40 a 49;Ens. Superior;Mais de 5 a 10;Profissional Liberal;Outras religiões;Parda;Igual;Sim;No;No;Yes;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
392;Às vezes;No trabalho;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;Sim;Polícia / Delegacia comum;Sim;No;No;Yes;No;No;No;No;;;;;Sudeste;Rio de Janeiro;30 a 39;Ens. Médio;Até 2 S.M.;Funcionária de empresa privada;Católica;Branca;Melhor;Sim;No;No;Yes;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
393;Às vezes;Na sociedade;Sim;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;No;No;No;Yes;No;No;No;No;No;Sim;Família;Não;;;;;;;;;;;;Sudeste;Rio de Janeiro;60 ou mais;Ens. Médio;Mais de 2 a 5;Aposentada;Católica;Branca;Melhor;Sim;No;Yes;No;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
394;Às vezes;No trabalho;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Continuou igual;Na minoria das vezes;No;Yes;No;Yes;Yes;No;No;No;No;Sim;Delegacia da Mulher;Não;;;;;;;;;;;;Sudeste;São Paulo;16 a 19 anos;Ens. Médio;Sem renda;Estudante;Católica;Branca;Melhor;Não;Yes;No;No;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
395;Às vezes;Na sociedade;Não;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Não denunciam;No;No;Yes;Yes;No;No;No;No;No;Sim;Delegacia da Mulher;Não;;;;;;;;;;;;Sudeste;Rio de Janeiro;50 a 59;Ens. Superior;Sem renda;Empregada doméstica;Evangélica;Preta;Melhor;Sim;No;Yes;No;No;Sim;;Enfraquece a lei;Aumenta a proteção à mulher,
396;Não;Na sociedade;Não;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;Yes;No;No;Yes;No;No;No;No;No;Sim;Delegacia da Mulher;Sim;Yes;No;No;No;No;No;No;;;;;Sudeste;Rio de Janeiro;30 a 39;Ens. Médio;Até 2 S.M.;Desempregada;Católica;Preta;Melhor;Sim;No;No;Yes;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
397;Às vezes;Na família;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;No;Yes;No;No;No;No;No;No;No;Sim;Delegacia da Mulher;Não;;;;;;;;;;;;Sudeste;Rio de Janeiro;20 a 29;Ens. Médio;Até 2 S.M.;Funcionária de empresa privada;Católica;Branca;Melhor;Sim;Yes;No;No;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
398;Não;Na família;Não;Sim;Sim;No;No;No;No;Yes;No;No;No;No;No;No;Yes;No;No;No;No;No;No;Não;;Outra opção;;20 a 29 anos;Aumentou;Na minoria das vezes;No;No;No;Yes;No;No;No;No;No;Sim;Polícia / Delegacia comum;Sim;No;No;Yes;No;No;No;No;;;;Terceira vez ou mais;Sudeste;Rio de Janeiro;50 a 59;Até Ens. Fund.;Até 2 S.M.;Do Lar;Católica;Parda;Igual;Sim;No;No;Yes;No;Sim;Marido/companheiro;Enfraquece a lei;Diminui a proteção à mulher,
399;Não;Na família;Sim;Sim;Sim;No;No;No;Yes;No;No;No;No;No;No;No;Yes;No;Yes;No;No;No;No;Não;;Procurou ajuda da família;;20 a 29 anos;Continuou igual;Na minoria das vezes;No;No;Yes;Yes;No;No;No;No;No;Sim;Central de Atendimento à Mulher (número 180);Sim;Yes;No;Yes;No;No;No;No;;;;Não procurei ajuda ;Sudeste;São Paulo;30 a 39;Ens. Médio;Até 2 S.M.;Empregada doméstica;Católica;Parda;Igual;Sim;Yes;No;No;No;Sim;Marido/companheiro;Enfraquece a lei;Diminui a proteção à mulher,
400;Às vezes;No trabalho;NS/NR ;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;No;No;No;Yes;No;No;No;No;No;Sim;Polícia / Delegacia comum;Não;;;;;;;;;;;;Sudeste;Rio de Janeiro;40 a 49;Até Ens. Fund.;Sem renda;Desempregada;Evangélica;Parda;Melhor;Não;No;No;Yes;No;Sim;;Fortalece a lei;Aumenta a proteção à mulher,
401;Às vezes;Na família;Em parte;Sim;Sim;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;No;No;Sim;;Não fez nada;;20 a 29 anos;Aumentou;Na maioria das vezes;Yes;No;No;No;No;No;No;No;No;Sim;Polícia / Delegacia comum;Sim;No;No;No;No;Yes;No;No;Não;Preocupação com a criação dos filhos;;Primeira vez;Sudeste;Rio de Janeiro;60 ou mais;Até Ens. Fund.;Até 2 S.M.;Aposentada;Evangélica;Parda;Melhor;Sim;Yes;No;No;No;Sim;Marido/companheiro;Enfraquece a lei;Diminui a proteção à mulher,
402;Às vezes;No trabalho;Não;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Continuou igual;Na minoria das vezes;No;No;No;Yes;No;No;No;No;No;Não;;Sim;Yes;No;No;No;No;No;No;;;;;Sudeste;São Paulo;16 a 19 anos;NS/NR;NS/NR;Estudante;Católica;NS/NR;Pior;Sim;Yes;No;No;No;Sim;;Fortalece a lei;Diminui a proteção à mulher,
403;Às vezes;Na família;Sim;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Diminuiu;Na maioria das vezes;No;No;No;Yes;Yes;No;No;No;No;Sim;Polícia / Delegacia comum;Sim;No;No;No;No;Yes;No;No;;;;;Sudeste;São Paulo;20 a 29;Ens. Médio;Sem renda;Estudante;Evangélica;Branca;Igual;Não;No;Yes;No;No;Sim;;Enfraquece a lei;Aumenta a proteção à mulher,
404;Às vezes;Na sociedade;Sim;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Continuou igual;Na minoria das vezes;No;No;No;Yes;No;No;No;No;No;Sim;Delegacia da Mulher;Sim;Yes;No;Yes;No;No;No;No;;;;;Sudeste;São Paulo;30 a 39;Ens. Médio;Até 2 S.M.;Funcionária de empresa privada;Católica;Branca;Igual;Sim;Yes;No;No;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
405;Não;Na família;Não;Sim;Sim;No;No;No;Yes;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;Sim;;Outra opção;;20 a 29 anos;Continuou igual;Na maioria das vezes;No;No;No;Yes;No;No;No;No;No;Não;;Sim;No;Yes;No;No;No;No;No;Não;;;Não procurei ajuda ;Sudeste;Rio de Janeiro;50 a 59;Até Ens. Fund.;Até 2 S.M.;Funcionária de empresa privada;Evangélica;Parda;Igual;Sim;Yes;No;No;No;Sim;Marido/companheiro;Fortalece a lei;Diminui a proteção à mulher,
406;Às vezes;Na sociedade;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Continuou igual;Na minoria das vezes;Yes;No;No;Yes;No;No;Yes;No;No;Sim;Polícia / Delegacia comum;Não;;;;;;;;;;;;Sudeste;Rio de Janeiro;16 a 19 anos;Ens. Médio;Sem renda;NS/NR;Outras religiões;Preta;Melhor;Sim;No;No;Yes;No;Sim;;Fortalece a lei;Aumenta a proteção à mulher,
407;Às vezes;Na sociedade;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;No;No;No;Yes;No;No;No;No;No;Sim;Delegacia da Mulher;Não;;;;;;;;;;;;Sudeste;Rio de Janeiro;20 a 29;Ens. Superior;Mais de 2 a 5;Profissional Liberal;Católica;Branca;Melhor;Sim;No;No;Yes;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
408;Não;No trabalho;Não;Sim;Sim;No;No;No;Yes;No;No;No;No;No;No;No;Yes;No;Yes;No;No;No;No;Não;;Procurou ajuda da família;;16 a 19 anos;NS/NR ;Na minoria das vezes;No;Yes;No;No;No;No;No;No;No;NS/NR ;;Sim;No;No;No;No;No;Yes;No;;;;Não procurei ajuda ;Sudeste;São Paulo;50 a 59;Até Ens. Fund.;Até 2 S.M.;Funcionária de empresa privada;Católica;Parda;Melhor;Não;No;No;Yes;No;Sim;Marido/companheiro;Fortalece a lei;Aumenta a proteção à mulher,
409;Às vezes;Na sociedade;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;Yes;No;No;Yes;Yes;No;Yes;No;No;Sim;Polícia / Delegacia comum;Não;;;;;;;;;;;;Sudeste;São Paulo;30 a 39;Ens. Médio;Sem renda;Do Lar;Católica;Branca;Igual;Não;No;No;Yes;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
410;Às vezes;Na sociedade;Sim;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;No;No;No;Yes;No;No;No;No;No;Sim;Polícia / Delegacia comum;Sim;Yes;No;No;No;No;No;No;;;;;Sudeste;Rio de Janeiro;20 a 29;Ens. Médio;Até 2 S.M.;Funcionária de empresa privada;Evangélica;Branca;Melhor;Sim;Yes;No;No;No;Sim;;Fortalece a lei;Aumenta a proteção à mulher,
411;Às vezes;Na sociedade;Não;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Continuou igual;Na minoria das vezes;No;Yes;No;No;No;No;No;No;No;Sim;Polícia / Delegacia comum;Sim;Yes;No;No;No;No;No;No;;;;;Sudeste;São Paulo;20 a 29;Ens. Superior;Até 2 S.M.;Servidora Pública;Evangélica;Branca;Igual;Não;Yes;No;No;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
412;Às vezes;Na sociedade;Sim;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;No;No;No;Yes;No;No;No;No;No;Sim;Família;Não;;;;;;;;;;;;Sudeste;São Paulo;20 a 29;Ens. Médio;Até 2 S.M.;Funcionária de empresa privada;Católica;Branca;Melhor;Sim;No;No;Yes;No;Sim;;Fortalece a lei;Aumenta a proteção à mulher,
413;Não;Na família;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Continuou igual;Na minoria das vezes;No;Yes;No;No;No;No;No;No;No;Não;;Sim;Yes;No;No;No;No;No;No;;;;;Sudeste;Rio de Janeiro;20 a 29;Ens. Médio;Até 2 S.M.;Desempregada;Evangélica;Amarela;Igual;Sim;No;No;Yes;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
414;Às vezes;No trabalho;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;No;No;No;Yes;No;Yes;No;No;No;Sim;Polícia / Delegacia comum;Não;;;;;;;;;;;;Sudeste;Rio de Janeiro;16 a 19 anos;Até Ens. Fund.;Sem renda;Estudante;Católica;Branca;Melhor;Não;No;Yes;No;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
415;Às vezes;Na família;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Não denunciam;No;Yes;No;No;Yes;No;No;No;No;Sim;Delegacia da Mulher;Não;;;;;;;;;;;;Sudeste;Rio de Janeiro;30 a 39;Ens. Médio;Sem renda;Do Lar;Evangélica;Branca;Melhor;Sim;No;No;Yes;No;Não;;Enfraquece a lei;Diminui a proteção à mulher,
416;Às vezes;Na sociedade;Sim;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;No;No;No;Yes;Yes;No;No;No;No;Não;;Não;;;;;;;;;;;;Sudeste;Rio de Janeiro;40 a 49;Até Ens. Fund.;Sem renda;Do Lar;Outras religiões;Parda;Melhor;Sim;Yes;No;No;No;Sim;;NS/NR;NS/NR,
417;Às vezes;No trabalho;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;No;Yes;No;No;Yes;No;No;No;No;Não;;Sim;Yes;No;No;No;No;No;No;;;;;Sudeste;Rio de Janeiro;40 a 49;Ens. Médio;Sem renda;Do Lar;Católica;Parda;Igual;Sim;No;No;Yes;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
418;Às vezes;No trabalho;Não;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;Yes;No;No;Yes;No;No;No;No;No;Sim;Polícia / Delegacia comum;Não;;;;;;;;;;;;Sudeste;Rio de Janeiro;20 a 29;Ens. Médio;Até 2 S.M.;Funcionária de empresa privada;Católica;Amarela;Igual;Não;Yes;Yes;No;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
419;Às vezes;Na sociedade;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Continuou igual;Na minoria das vezes;Yes;Yes;No;No;Yes;No;No;No;No;Sim;Polícia / Delegacia comum;Sim;Yes;No;Yes;No;No;No;No;;;;;Sudeste;Rio de Janeiro;30 a 39;Ens. Médio;Sem renda;Desempregada;Outras religiões;Parda;Igual;Sim;No;No;Yes;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
420;Não;Na família;Não;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;Yes;No;No;No;Yes;No;No;No;No;Sim;Delegacia da Mulher;Sim;Yes;No;Yes;No;No;No;No;;;;;Sudeste;Rio de Janeiro;30 a 39;Ens. Médio;Até 2 S.M.;Profissional Liberal;Católica;Branca;Igual;Sim;No;Yes;No;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
421;Sim;No trabalho;Sim;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Diminuiu;Na minoria das vezes;No;No;No;Yes;Yes;No;No;No;No;NS/NR ;;Sim;Yes;No;No;No;No;No;No;;;;;Sul;Rio Grande do Sul;16 a 19 anos;Ens. Médio;Sem renda;Estudante;Católica;Branca;Melhor;Não;No;No;Yes;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
422;NS/NR ;NS/NR ;Sim;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Continuou igual;Na maioria das vezes;No;No;No;No;No;No;Yes;No;No;Não;;Sim;No;No;Yes;No;No;No;No;;;;;Sudeste;Rio de Janeiro;60 ou mais;Até Ens. Fund.;Sem renda;Do Lar;Evangélica;Parda;Melhor;Não;Yes;No;No;No;Sim;;Enfraquece a lei;Aumenta a proteção à mulher,
423;Às vezes;Na sociedade;Sim;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;NS/NR ;Na minoria das vezes;No;Yes;No;No;No;No;No;No;No;Sim;Delegacia da Mulher;Sim;Yes;No;No;No;No;No;No;;;;;Sul;Rio Grande do Sul;20 a 29;Ens. Superior;Até 2 S.M.;Funcionária de empresa privada;Católica;Branca;Melhor;Sim;No;No;Yes;No;Sim;;Fortalece a lei;Aumenta a proteção à mulher,
424;Às vezes;Na família;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Continuou igual;Na minoria das vezes;No;No;No;Yes;No;No;No;No;No;Sim;Família;Sim;No;No;Yes;No;Yes;No;No;;;;;Sul;Rio Grande do Sul;60 ou mais;Ens. Médio;Mais de 2 a 5;Aposentada;Católica;Branca;Melhor;Sim;No;Yes;No;No;Sim;;Enfraquece a lei;Aumenta a proteção à mulher,
425;Às vezes;Na sociedade;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;No;Yes;No;No;No;Yes;No;No;No;Sim;NS/NR ;Não;;;;;;;;;;;;Sul;Rio Grande do Sul;40 a 49;Ens. Médio;Sem renda;Do Lar;Católica;Branca;Melhor;Sim;No;No;Yes;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
426;NS/NR ;Na família;Sim;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;No;No;No;Yes;Yes;No;No;No;No;Não;;Não;;;;;;;;;;;;Sul;Rio Grande do Sul;40 a 49;Ens. Médio;Até 2 S.M.;Profissional Liberal;Católica;Branca;Melhor;Sim;Yes;No;No;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
427;Às vezes;No trabalho;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;No;No;No;Yes;No;No;No;No;No;Sim;Delegacia da Mulher;Sim;Yes;No;No;No;No;No;No;;;;;Sul;Rio Grande do Sul;20 a 29;Ens. Superior;Até 2 S.M.;Servidora Pública;Católica;Branca;Melhor;Sim;No;No;Yes;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
428;Às vezes;No trabalho;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Diminuiu;Na minoria das vezes;No;Yes;No;No;No;Yes;No;No;No;Sim;Polícia / Delegacia comum;Não;;;;;;;;;;;;Sul;Rio Grande do Sul;30 a 39;Até Ens. Fund.;Até 2 S.M.;Empregada doméstica;Católica;Branca;Melhor;Sim;Yes;No;No;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
429;NS/NR ;Na sociedade;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;No;No;No;Yes;No;Yes;No;No;No;NS/NR ;;Não;;;;;;;;;;;;Sul;Rio Grande do Sul;40 a 49;Ens. Médio;Até 2 S.M.;Funcionária de empresa privada;Católica;Branca;Igual;Sim;Yes;No;No;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
